order,r,omega,omega_ratio,amplitude,amplitude_ratio
3,33.25,0.5644710782510327,1.0503506117476398,4.214896646538639,0.4214896646538639
3,33.5,0.5648795106009751,1.0511106102402972,4.244991187681629,0.42449911876816293
3,33.75,0.5652910023692692,1.051876301605559,4.27504985441818,0.427504985441818
3,34.0,0.5657055535559149,1.052647685843425,4.305072379028841,0.43050723790288414
3,34.25,0.5661231641609122,1.053424762953895,4.335058493794154,0.4335058493794154
3,34.5,0.5665438341842612,1.0542075329369693,4.365007930994677,0.4365007930994677
3,34.75,0.5669675636259618,1.0549959957926478,4.394920422910953,0.43949204229109534
3,35.0,0.567394352486014,1.0557901515209305,4.424795701823534,0.4424795701823534
3,35.25,0.5678242007644179,1.0565900001218171,4.454633500012967,0.4454633500012967
3,35.5,0.5682571084611734,1.0573955415953082,4.484433549759801,0.44844335497598015
3,35.75,0.5686930755762805,1.0582067759414033,4.514195583344586,0.45141955833445857
3,36.0,0.5691321021097392,1.0590237031601026,4.543919333047873,0.4543919333047873
3,36.25,0.5695741880615496,1.0598463232514062,4.573604531150204,0.45736045311502044
3,36.5,0.5700193334317116,1.060674636215314,4.603250909932136,0.4603250909932136
3,36.75,0.5704675382202252,1.0615086420518258,4.632858201674214,0.46328582016742137
3,37.0,0.5709188024270905,1.062348340760942,4.662426138656986,0.46624261386569865
3,37.25,0.5713731260523074,1.0631937323426621,4.691954453161005,0.46919544531610047
3,37.5,0.5718305090958758,1.0640448167969865,4.721442877466814,0.4721442877466814
3,37.75,0.572290951557796,1.064901594123915,4.750891143854966,0.4750891143854966
3,38.0,0.5727544534380677,1.0657640643234478,4.780298984606009,0.47802989846060095
3,38.25,0.5732210147366912,1.0666322273955848,4.809666132000494,0.4809666132000494
3,38.5,0.5736906354536662,1.0675060833403258,4.838992318318967,0.4838992318318967
3,38.75,0.5741633155889929,1.0683856321576712,4.868277275841976,0.48682772758419757
3,39.0,0.5746390551426711,1.0692708738476204,4.897520736850076,0.4897520736850076
3,39.25,0.5751178541147011,1.0701618084101743,4.926722433623809,0.49267224336238086
3,39.5,0.5755997125050826,1.071058435845332,4.95588209844373,0.495588209844373
3,39.75,0.5760846303138157,1.071960756153094,4.9849994635903805,0.49849994635903805
3,40.0,0.5765726075409006,1.0728687693334602,5.014074261344314,0.5014074261344315
3,40.25,0.577063644186337,1.0737824753864307,5.043106223986083,0.5043106223986082
3,40.5,0.5775577402501251,1.0747018743120051,5.0720950837962295,0.507209508379623
3,40.75,0.5780548957322648,1.0756269661101838,5.101040573055309,0.5101040573055309
3,41.0,0.5785551106327561,1.0765577507809667,5.129942424043865,0.5129942424043865
3,41.25,0.579058384951599,1.0774942283243536,5.158800369042446,0.5158800369042446
3,41.5,0.5795647186887936,1.078436398740345,5.187614140331608,0.5187614140331608
3,41.75,0.5800741118443398,1.0793842620289402,5.216383470191891,0.5216383470191891
3,42.0,0.5805865644182376,1.08033781819014,5.24510809090385,0.5245108090903849
3,42.25,0.5811020764104871,1.0812970672239435,5.2737877347480335,0.5273787734748033
3,42.5,0.5816206478210881,1.0822620091303514,5.302422134004988,0.5302422134004988
3,42.75,0.5821422786500409,1.0832326439093636,5.331011020955264,0.5331011020955264
3,43.0,0.5826669688973453,1.08420897156098,5.359554127879411,0.5359554127879411
3,43.25,0.5831947185630012,1.0851909920852003,5.388051187057975,0.5388051187057975
3,43.5,0.5837255276470088,1.0861787054820249,5.41650193077151,0.541650193077151
3,43.75,0.5842593961493681,1.087172111751454,5.44490609130056,0.544490609130056
3,44.0,0.5847963240700789,1.0881712108934867,5.473263400925675,0.5473263400925675
3,44.25,0.5853363114091414,1.089176002908124,5.501573591927407,0.5501573591927407
3,44.5,0.5858793581665556,1.0901864877953653,5.529836396586301,0.5529836396586301
3,44.75,0.5864254643423212,1.0912026655552107,5.558051547182911,0.5558051547182912
3,45.0,0.5869746299364387,1.0922245361876606,5.586218775997779,0.5586218775997779
3,45.25,0.5875268549489077,1.0932520996927144,5.614337815311461,0.5614337815311461
3,45.5,0.5880821393797283,1.0942853560703725,5.6424083974045,0.56424083974045
3,45.75,0.5886404832289006,1.0953243053206347,5.6704302545574485,0.5670430254557448
3,46.0,0.5892018864964245,1.096368947443501,5.698403119050855,0.5698403119050856
3,46.25,0.5897663491823,1.0974192824389717,5.726326723165267,0.5726326723165267
3,46.5,0.5903338712865271,1.0984753103070464,5.754200799181236,0.5754200799181236
